"time","summary","icon","precipProbability","precipType","temperatureMin","temperatureMax","humidity","windSpeed","cloudCover"
2016-10-11,"Clear throughout the day.","clear-day",0,NA,45.19,60.84,0.67,3.84,0.05
2016-10-12,"Rain overnight.","rain",0,NA,46.21,59.53,0.66,0.77,0.15
2016-10-13,"Rain throughout the day.","rain",0.78,"rain",52.63,58.77,0.92,5.06,NA
2016-10-14,"Rain until evening, starting again overnight, and breezy in the afternoon.","rain",0.82,"rain",52.29,58.46,0.84,12.93,0.38
2016-10-15,"Rain until afternoon, starting again in the evening.","rain",0.81,"rain",51.03,61.48,0.87,8.09,0.42
2016-10-16,"Rain until afternoon, starting again in the evening.","rain",0.75,"rain",51.77,57.66,0.87,6.05,0.44
2016-10-17,"Light rain in the morning and overnight.","rain",0.61,"rain",51.7,58.87,0.86,7.67,0.43
2016-10-18,"Light rain in the morning and evening.","rain",0.59,"rain",50.66,58.68,0.87,6.8,0.31
2016-10-19,"Rain starting in the evening.","rain",0.62,"rain",48.31,54.85,0.87,1.9,0.27
2016-10-20,"Rain until afternoon.","rain",0.83,"rain",50.81,60.56,0.91,3.92,0.38
2016-10-21,"Light rain in the evening.","rain",0.64,"rain",50.24,57.77,0.88,4.72,0.29
2016-10-22,"Light rain overnight.","rain",0,NA,48.13,59.58,0.81,0.68,0.2
2016-10-23,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-night",0.63,"rain",51.43,59.67,0.82,1.32,0.27
2016-10-24,"Rain in the evening.","rain",0.73,"rain",53.12,59.64,0.82,2.01,0.27
2016-10-25,"Partly cloudy until afternoon.","partly-cloudy-day",0.28,"rain",52.34,62.36,0.69,7.22,0.26
2016-10-26,"Rain throughout the day.","rain",0.8,"rain",52.61,58.39,0.91,1.59,0.41
2016-10-27,"Light rain in the evening.","rain",0.59,"rain",53.6,57.79,0.85,5.58,0.34
2016-10-28,"Partly cloudy in the morning.","partly-cloudy-night",0.19,"rain",50.99,62.49,0.78,2.12,0.22
2016-10-29,"Rain until afternoon.","rain",0.73,"rain",48.97,57.91,0.83,0.89,0.22
2016-10-30,"Light rain in the afternoon and evening.","rain",0.68,"rain",46.44,52.52,0.92,2.88,0.27
2016-10-31,"Rain until afternoon, starting again in the evening.","rain",0.76,"rain",50.78,56.87,0.89,5.91,0.46
2016-11-01,"Light rain in the morning and afternoon.","rain",0.74,"rain",49.86,55.93,0.9,4.8,0.55
2016-11-02,"Rain until afternoon, starting again in the evening.","rain",0.71,"rain",52.46,57.15,0.89,3.78,0.52
2016-11-03,"Clear throughout the day.","clear-day",0.73,"rain",51.11,61.77,0.86,2.32,0.15
2016-11-04,"Partly cloudy overnight.","partly-cloudy-night",0,NA,45.45,62.98,0.83,3.55,0.15
2016-11-05,"Rain throughout the day.","rain",0.77,"rain",53.54,61.53,0.91,5.24,0.39
2016-11-06,"Light rain in the morning.","rain",0.73,"rain",49.91,59.84,0.81,5.4,0.27
2016-11-07,"Light rain in the morning.","rain",0.53,"rain",52.63,60.85,0.85,1.49,0.23
2016-11-08,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,51.27,68.78,0.79,2.93,0.1
2016-11-09,"Rain in the morning.","rain",0.75,"rain",53.66,65.03,0.88,3.31,0.22
2016-11-10,"Partly cloudy starting in the evening.","partly-cloudy-night",0,NA,49.51,63.4,0.89,1.5,0.18
2016-11-11,"Partly cloudy throughout the day.","partly-cloudy-day",0,NA,51.6,61.03,0.87,2.43,0.29
2016-11-12,"Light rain in the morning and breezy in the afternoon.","rain",0.67,"rain",52.98,59.04,0.83,8.98,0.27
2016-11-13,"Rain in the morning and evening.","rain",0.72,"rain",49.39,54.47,0.89,5.31,0.31
2016-11-14,"Rain in the morning and overnight.","rain",0.69,"rain",51.77,57.61,0.86,1.27,0.18
2016-11-15,"Rain in the morning and afternoon.","rain",0.84,"rain",45.74,54.63,0.89,5.9,0.38
2016-11-16,"Light rain in the evening.","rain",0.71,"rain",45.01,49.25,0.85,4.14,0.29
2016-11-17,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,44.58,52.4,0.84,4.36,0.23
2016-11-18,"Partly cloudy overnight.","partly-cloudy-night",0,NA,42.38,54.2,0.65,2.67,0.15
2016-11-19,"Light rain in the morning and overnight.","rain",0.59,"rain",48.55,54.32,0.68,3.29,0.37
2016-11-20,"Light rain in the morning and overnight.","rain",0.45,"rain",50.25,54.62,0.8,6.62,0.47
2016-11-21,"Clear throughout the day.","clear-day",0.54,"rain",47.28,53.48,0.87,6.4,0.18
2016-11-22,"Rain starting in the afternoon.","rain",0.75,"rain",45.3,52.31,0.81,3.31,0.22
2016-11-23,"Light rain in the afternoon and evening.","rain",0.63,"rain",44.36,48.69,0.87,8.87,0.4
2016-11-24,"Rain throughout the day.","rain",0.74,"rain",46.9,51.57,0.85,8.67,0.54
2016-11-25,"Light rain overnight.","rain",0.68,"rain",45.41,52.08,0.83,1.89,0.35
2016-11-26,"Light rain throughout the day.","rain",0.7,"rain",45.6,51.68,0.92,0.19,0.48
2016-11-27,"Rain starting in the afternoon, continuing until evening.","rain",0.77,"rain",43.61,46.66,0.92,6.53,0.45
2016-11-28,"Drizzle in the evening.","rain",0.3,"rain",40.19,52.22,0.89,4.13,0.23
2016-11-29,"Rain overnight.","rain",0.23,"rain",45.24,51.41,0.87,4.98,0.31
2016-11-30,"Light rain in the evening.","rain",0.72,"rain",44.44,51.64,0.84,7.88,0.29
2016-12-01,"Partly cloudy until afternoon.","partly-cloudy-day",0.03,"rain",42.25,46.63,0.87,5.01,0.36
2016-12-02,"Light rain in the morning and afternoon.","rain",0.63,"rain",45.57,48.87,0.91,7.5,0.53
2016-12-03,"Light rain starting in the evening.","rain",0.64,"rain",45.46,48.77,0.87,7.89,0.35
2016-12-04,"Light rain in the morning.","rain",0.65,"rain",37.47,46.56,0.84,3.19,0.26
2016-12-05,"Light rain in the morning and evening.","rain",0.65,"rain",35.02,39.71,0.91,5.22,0.33
2016-12-06,"Partly cloudy starting in the evening.","partly-cloudy-night",0.09,"rain",34.48,40.59,0.78,3.9,0.21
2016-12-07,"Clear throughout the day.","clear-day",0,NA,30.54,39.36,0.68,3.64,0.08
2016-12-08,"Light snow (under 1 in.) overnight.","snow",0.13,"rain",31.74,39.48,0.54,3.17,0.07
2016-12-09,"Light rain until afternoon, starting again in the evening.","rain",0.69,"rain",31.68,36.88,0.93,6.9,NA
2016-12-10,"Light rain starting in the afternoon.","rain",0.69,"rain",36.99,43.7,0.9,7.71,0.37
2016-12-11,"Drizzle starting in the afternoon, continuing until evening.","rain",0.57,"rain",41.35,43.54,0.89,8,0.38
2016-12-12,"Drizzle in the afternoon.","rain",0.48,"rain",38.81,42.81,0.9,2.3,0.45
2016-12-13,"Partly cloudy until afternoon.","partly-cloudy-day",0.13,"rain",34.52,39.61,0.85,4.41,0.25
2016-12-14,"Partly cloudy starting in the evening.","partly-cloudy-night",0,NA,32.59,37.95,0.7,5.6,0.1
2016-12-15,"Drizzle in the morning.","rain",0.33,"rain",35.22,38.53,0.73,3.13,0.46
2016-12-16,"Clear throughout the day.","clear-day",0,NA,30.16,35.29,0.63,3.61,0.08
2016-12-17,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-night",0,NA,25.87,33.65,0.79,2.96,0.19
2016-12-18,"Partly cloudy overnight.","partly-cloudy-night",0,NA,31.08,39.6,0.79,4.88,0.17
2016-12-19,"Light rain in the morning and evening.","rain",0.71,"rain",36.94,45.49,0.9,6.88,0.62
2016-12-20,"Breezy in the morning.","wind",0.63,"rain",42.93,50.62,0.79,8.57,0.08
2016-12-21,"Clear throughout the day.","clear-day",0,NA,39.21,47.37,0.83,1.8,0.04
2016-12-22,"Light rain starting in the evening.","rain",0.69,"rain",38.04,45.91,0.84,3.19,0.23
2016-12-23,"Light rain until evening.","rain",0.68,"rain",36.65,40.65,0.96,1.24,NA
2016-12-24,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0.05,"rain",37.37,40.41,0.94,0.51,0.51
2016-12-25,"Partly cloudy overnight.","partly-cloudy-night",0,NA,32.97,39.71,0.91,2.34,0.18
2016-12-26,"Light rain starting in the afternoon.","rain",0.71,"rain",34.9,41.75,0.84,5.69,0.46
2016-12-27,"Light rain in the afternoon.","rain",0.5,"rain",41.29,45.46,0.85,10.08,0.29
2016-12-28,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-night",0,NA,39.57,46.97,0.77,6.29,0.19
2016-12-29,"Light rain in the evening and overnight.","rain",0.52,"rain",41.58,47.29,0.82,4.52,0.41
2016-12-30,"Light rain in the morning and evening.","rain",0.52,"rain",37.7,44.65,0.89,2.02,0.33
2016-12-31,"Light rain in the morning.","rain",0.65,"rain",33.92,38.48,0.88,2.28,0.24
2017-01-01,"Partly cloudy in the morning.","partly-cloudy-night",0.65,"rain",33.92,38.48,0.85,3.08,0.25
2017-01-02,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,30.78,36.64,0.63,3.03,0.17
2017-01-03,"Clear throughout the day.","clear-day",0,NA,28.32,34.67,0.57,4.16,0.02
2017-01-04,"Clear throughout the day.","clear-day",0,NA,27,40.05,0.49,4.3,0.01
2017-01-05,"Clear throughout the day.","clear-day",0,NA,26.96,38.99,0.65,2.61,0.02
2017-01-06,"Clear throughout the day.","clear-day",0,NA,26.67,40.65,0.64,4.73,0.08
2017-01-07,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,29.94,39.47,0.5,3.49,0.23
2017-01-08,"Rain throughout the day.","rain",0.78,"rain",36.53,43.07,0.79,2.14,0.57
2017-01-09,"Partly cloudy until evening.","partly-cloudy-day",0.15,"rain",38.82,44.19,0.9,5.9,0.35
2017-01-10,"Drizzle in the morning.","rain",0.52,"rain",33.65,39.57,0.81,5.06,0.2
2017-01-11,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,NA,31.24,35.7,0.55,4.81,0.16
2017-01-12,"Clear throughout the day.","clear-day",0,NA,28.71,40.86,0.67,1.88,0.02
2017-01-13,"Clear throughout the day.","clear-day",0,NA,29.69,39.14,0.7,2.31,0.04
2017-01-14,"Clear throughout the day.","clear-day",0,NA,30.9,43.37,0.71,2.15,0.06
2017-01-15,"Clear throughout the day.","clear-day",0,NA,30.71,43.41,0.78,1.97,0.06
2017-01-16,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,34.68,47.32,0.73,4.19,0.26
2017-01-17,"Rain in the morning and afternoon.","rain",0.81,"rain",41.73,46.89,0.84,4.32,NA
2017-01-18,"Rain in the morning and evening.","rain",0.81,"rain",45.39,52.94,0.91,7.58,0.62
2017-01-19,"Light rain in the afternoon.","rain",0.66,"rain",45.38,49.62,0.85,6.64,0.36
2017-01-20,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,NA,40.32,51.88,0.77,2.49,0.24
2017-01-21,"Drizzle overnight.","rain",0.36,"rain",42.95,49.67,0.86,1.25,0.53
2017-01-22,"Light rain until afternoon.","rain",0.61,"rain",42.88,46.25,0.83,3.54,0.24
2017-01-23,"Partly cloudy in the morning.","partly-cloudy-night",0,NA,39,46.78,0.85,0.92,0.15
2017-01-24,"Partly cloudy in the morning.","partly-cloudy-night",0,NA,35.22,43.45,0.93,1.61,0.37
2017-01-25,"Mostly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0.03,"rain",38.41,43.87,0.92,2.86,0.46
2017-01-26,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,42.74,48.41,0.9,1.81,0.39
2017-01-27,"Clear throughout the day.","clear-day",0,NA,40.1,50.36,0.76,3.22,0.15
2017-01-28,"Clear throughout the day.","clear-day",0,NA,41.16,53.06,0.71,4.44,0.05
2017-01-29,"Mostly cloudy in the afternoon.","partly-cloudy-day",0.1,"rain",41.18,48.59,0.81,5.99,0.2
2017-01-30,"Partly cloudy starting in the afternoon.","partly-cloudy-night",0.13,"rain",42.59,45.71,0.86,4.4,0.37
2017-01-31,"Clear throughout the day.","clear-day",0.11,"rain",38.26,43.91,0.62,7.37,0.23
2017-02-01,"Clear throughout the day.","clear-day",0,NA,33.31,43.82,0.48,3.52,0.06
2017-02-02,"Partly cloudy overnight.","partly-cloudy-night",0.03,"rain",33.9,45.61,0.34,2.59,0.11
2017-02-03,"Rain in the morning and afternoon.","rain",0.74,"rain",34.85,39.52,0.85,1.5,0.66
2017-02-04,"Rain until evening, starting again overnight.","rain",0.76,"rain",38.79,45.74,0.94,5.54,NA
2017-02-05,"Mixed precipitation (2–5 in. of snow) throughout the day.","snow",0.73,"rain",33.1,41.84,0.93,2.96,0.74
